STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130909,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130910,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130911,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130912,1.60,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130913,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130914,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130915,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130916,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130917,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130918,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130919,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130920,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130921,0.72,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130922,0.45,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130923,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130924,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130925,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130926,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130927,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130928,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130929,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130930,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131001,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131002,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131003,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131004,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131005,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131006,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131007,0.25,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131008,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131009,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131010,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131011,0.02,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131012,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131013,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131014,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131015,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131016,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131017,0.02,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131018,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131019,0.01,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131020,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131021,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131022,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131023,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131024,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131025,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131026,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131027,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131028,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131029,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131030,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131031,0.06,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131101,0.13,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131102,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131103,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131104,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131105,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131106,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131107,0.13,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131108,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131109,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131110,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131111,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131112,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131113,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131114,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131115,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131116,0.05,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131117,0.03,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131118,0.22,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131119,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131120,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131121,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131122,0.07,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131123,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131124,0.00,0.0,0.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20131125,0.00,0.0,0.0
